total_processing_days,premium,application_type,service_center
41.0,False,new application,California
65.0,False,new application,Vermont
59.0,False,new application,Vermont
43.0,False,new application,Vermont
53.0,False,new application,Vermont
76.0,False,new application,Vermont
34.0,False,new application,California
31.0,False,renewal,California
41.0,False,renewal,California
53.0,False,new application,California
42.0,False,new application,Vermont
34.0,False,new application,California
216.0,False,new application,California
45.0,False,new application,Vermont
41.0,False,new application,Vermont
31.0,False,new application,Phoenix
153.0,False,new application,Vermont
59.0,False,new application,California
160.0,False,new application,Vermont
125.0,False,new application,Vermont
94.0,False,new application,Phoenix
35.0,False,new application,California
64.0,False,new application,Vermont
220.0,False,new application,Vermont
54.0,False,new application,Vermont
151.0,False,new application,Vermont
99.0,False,new application,Vermont
45.0,False,new application,Vermont
81.0,False,new application,California
139.0,False,new application,Vermont
79.0,False,new application,California
34.0,False,new application,California
41.0,False,new application,California
75.0,False,new application,Phoenix
32.0,False,new application,California
72.0,False,new application,Vermont
161.0,False,new application,Vermont
65.0,False,new application,Vermont
78.0,False,new application,California
35.0,False,new application,California
122.0,False,new application,Vermont
78.0,False,new application,Vermont
38.0,False,new application,Phoenix
61.0,False,new application,Dallas
70.0,False,new application,Vermont
137.0,False,new application,Vermont
66.0,False,new application,California
36.0,False,new application,California
28.0,False,new application,Phoenix
180.0,False,new application,Vermont
67.0,False,new application,Vermont
32.0,False,new application,California
94.0,False,new application,California
29.0,False,new application,California
29.0,False,new application,California
217.0,False,new application,Dallas
63.0,False,new application,Vermont
20.0,False,new application,California
27.0,False,renewal,California
28.0,True,new application,California
79.0,False,new application,California
64.0,False,new application,Vermont
126.0,False,new application,Vermont
71.0,False,new application,Vermont
47.0,False,new application,California
83.0,False,new application,California
38.0,False,new application,California
67.0,False,new application,California
51.0,False,new application,Vermont
36.0,False,new application,California
56.0,False,new application,Vermont
133.0,False,new application,Vermont
49.0,False,new application,Vermont
46.0,False,new application,California
35.0,False,new application,Phoenix
39.0,False,new application,California
59.0,False,new application,Vermont
38.0,False,new application,California
43.0,False,renewal,California
36.0,False,new application,Phoenix
20.0,False,new application,Vermont
85.0,False,new application,Vermont
50.0,False,new application,Vermont
23.0,False,new application,Phoenix
43.0,False,renewal,California
42.0,False,new application,Phoenix
55.0,False,new application,California
163.0,False,new application,Vermont
103.0,False,new application,Vermont
185.0,False,new application,Vermont
11.0,True,renewal,Vermont
10.0,False,new application,California
39.0,False,new application,Vermont
35.0,False,new application,California
85.0,True,new application,Vermont
42.0,False,new application,Vermont
197.0,False,new application,California
40.0,False,new application,Vermont
26.0,False,new application,California
83.0,False,new application,Vermont
57.0,False,new application,Texas
44.0,False,new application,California
73.0,False,new application,Vermont
81.0,False,new application,California
154.0,False,new application,Vermont
65.0,False,new application,California
44.0,False,new application,Vermont
56.0,False,new application,Dallas
59.0,False,new application,California
51.0,False,new application,California
64.0,False,new application,California
108.0,False,new application,Vermont
56.0,False,new application,Vermont
36.0,False,new application,California
68.0,False,new application,California
61.0,False,new application,Vermont
41.0,False,renewal,California
6.0,True,new application,Vermont
56.0,False,renewal,Texas
44.0,False,new application,Dallas
109.0,True,renewal,California
52.0,False,new application,Vermont
55.0,False,new application,California
45.0,False,new application,Vermont
41.0,False,new application,Vermont
15.0,True,renewal,Vermont
49.0,False,new application,Vermont
39.0,False,new application,Vermont
93.0,False,new application,Vermont
45.0,False,new application,Vermont
43.0,False,new application,Vermont
112.0,False,new application,Vermont
74.0,False,new application,California
73.0,False,new application,California
73.0,False,new application,Vermont
36.0,False,new application,California
72.0,False,new application,Vermont
51.0,False,new application,Texas
29.0,False,new application,California
188.0,False,new application,Phoenix
51.0,False,new application,Vermont
127.0,False,new application,Vermont
55.0,False,new application,California
56.0,False,new application,Vermont
189.0,False,new application,Texas
54.0,False,new application,Vermont
116.0,False,new application,Vermont
186.0,False,new application,Vermont
182.0,False,new application,Phoenix
13.0,False,renewal,Vermont
52.0,False,new application,Vermont
69.0,False,new application,Vermont
40.0,False,renewal,Vermont
45.0,False,new application,Vermont
59.0,False,new application,Vermont
51.0,False,new application,Vermont
47.0,False,new application,Phoenix
44.0,False,new application,Vermont
184.0,False,new application,Vermont
156.0,False,new application,Vermont
33.0,False,new application,California
147.0,False,new application,Vermont
52.0,False,new application,Vermont
114.0,False,new application,Vermont
155.0,False,new application,Vermont
66.0,False,renewal,Vermont
29.0,False,new application,California
55.0,False,new application,California
24.0,False,new application,California
164.0,False,new application,Vermont
79.0,False,new application,Texas
67.0,False,new application,California
42.0,False,new application,Phoenix
